,question,answer,question_type,filename
42,"What is the name of the document that contains the financial statements for the years ended 30 June 2020, 2021, and 2022, and as at 30 June 2021 and 2022, given that the 2023 Financial Report should be read in conjunction with the 2022 Financial Report and the Commonwealth Bank of Australia Basel III Pillar 3 Capital Adequacy and Risk Disclosures as at 30 June 2023, and can be found on the US Investor Website?","The name of the document that contains the Financial Statements for the years ended 30 June 2020, 2021, and 2022, and as at 30 June 2021 and 2022 is the Commonwealth Bank of Australia Financial Report (US Version) – Year Ended 30 June 2022.",conditional,CBA_AnnualReport_2023.pdf
43,How does the remuneration structure for Group Executives and CEO ASB differ from that of the CEO in terms of performance measures and deferral periods?,"The remuneration for Group Executives and CEO ASB includes a mix of FR, STVR, LTAR, and performance rights, while the CEO's remuneration includes a mix of FR, STVR, LTAR, and restricted share units.",conditional,CBA_AnnualReport_2023.pdf
44,"What is the total amount insured under the professional indemnity insurance policy, considering potential remediation of ongoing service failures, inappropriate advice, and other matters, as of June 30, 2023, while taking into account the reimbursement arrangements and indemnity deed in place?","The total amount insured under the professional indemnity insurance policy as of June 30, 2023, was up to $124 million.",conditional,CBA_AnnualReport_2023.pdf
45,"Given the information provided, a possible rewritten question that increases complexity by introducing a conditional element could be:

""Assuming Peter Harmer's extensive experience in the financial services industry and his current role as an Independent Non-Executive Director at Lawcover Insurance Pty Limited, how might his expertise in risk management, customer perspectives, and environmental, social, and governance practices contribute to the Board's decision-making process in the event of a major environmental disaster affecting the company's operations?",Peter Harmer is a Director of Lawcover Insurance Pty Limited.,conditional,CBA_AnnualReport_2023.pdf
46,"What is the total amount of investments in and loans to controlled entities as of June 30, 2023, considering potential provisions for impairment and remediation arrangements?","The total amount of investments in and loans to controlled entities as of June 30, 2023, was $54,636 million.",conditional,CBA_AnnualReport_2023.pdf
47,"Given that the bank's capital position remains strong and disciplined execution of strategic priorities resulted in growth despite a challenging and competitive market, what was the percentage increase in Cash Net Profit After Tax (NPAT) for the bank in the 2023 financial year?","$10,182 million, up 5%.",conditional,CBA_AnnualReport_2023.pdf
48,"What document contains the financial statements for the years ended June 30, 2021, 2022, and 2023, and can be found on the US Investor Website?","The name of the document that contains the Financial Statements for the years ended 30 June 2021, 2022, and 2023 is the Commonwealth Bank of Australia Financial Report (US Version) – Year Ended 30 June 2023.",conditional,CBA_AnnualReport_2023.pdf
49,"Who relies on individual deeds of indemnity rather than the indemnity deed poll, and what protections do these documents offer?","The Bank’s Directors, and other individuals described in the preceding paragraph, rely on the terms of their individual deed of indemnity and not the indemnity deed poll.",conditional,CBA_AnnualReport_2023.pdf
50,"What was the 5% increase in total operating income for the financial year ended 30 June 2023, given that the Group's statutory net profit after tax decreased by 6% and was driven by a 10% increase in total operating income, partly offset by a 4% increase in operating expenses and a $1,465 million increase in loan impairment expense?",The increase in total operating income for the financial year ended 30 June 2023 was 10%.,conditional,CBA_AnnualReport_2023.pdf
51,"What is the amount of loans to controlled entities at fair value through the Income Statement as of June 30, 2023, considering the impact of provisions for impairment and potential remediation of ongoing service failures, inappropriate advice, and other matters?","The amount of loans to controlled entities at fair value through the Income Statement as of June 30, 2023, was $636 million.",conditional,CBA_AnnualReport_2023.pdf
52,"What is the total amount of loans to controlled entities at amortized cost as of June 30, 2023, considering potential provisions for impairment and remediation arrangements with subsidiaries?","The total amount of loans to controlled entities at amortized cost as of June 30, 2023, was $45,377 million.",conditional,CBA_AnnualReport_2023.pdf
53,"What are the two main litigated claims against the Group as of June 30, 2023, according to the wealth remediation provision, and what are the allegations made in the shareholder class actions?",It is alleged that CBA shareholders who acquired an interest in CBA shares between 16 June 2014 and 3 August 2017 suffered losses as a result of the alleged conduct.,conditional,CBA_AnnualReport_2023.pdf
54,"Under what circumstances did Paul O'Malley retire as Chair of the People & Remuneration Committee on August 10, 2022?",Paul O’Malley retired as Chair of the People & Remuneration Committee effective 10 August 2022.,conditional,CBA_AnnualReport_2023.pdf
55,"What are the dual allegations made against Bankwest in the class action lawsuit regarding their conduct between 2008 and 2012, and how does it allegedly amount to unconscionable conduct and breach of contract?","The plaintiffs allege that Bankwest implemented a system to identify, remove and write-off commercial loans, notwithstanding that the loans were performing loans at the time, which is alleged to have amounted to unconscionable conduct and breach of contract.",conditional,CBA_AnnualReport_2023.pdf
56,"What are the uncertainties and possible claims associated with the regulatory actions and reviews that the Board is monitoring, and how is the Group engaging with its regulators regarding these matters?","The litigation and regulatory matters referred to in the text include proceedings related to the Bank's regulatory compliance, including the defense of ten class actions.",conditional,CBA_AnnualReport_2023.pdf
57,How has the Bank's remuneration framework adapted to the challenges of the rapidly changing macroeconomic factors while balancing financial and non-financial performance outcomes?,"The Bank's remuneration framework focuses on balanced financial and non-financial performance outcomes, appropriately governed, and support sustainable long-term value creation.",conditional,CBA_AnnualReport_2023.pdf
58,"Under the deed poll, who else, apart from Directors and Company Secretaries, is indemnified by the Bank?","The Bank has also executed an indemnity deed poll, which provides indemnification to certain other officers on substantially the same terms as those provided in the Constitution.",conditional,CBA_AnnualReport_2023.pdf
59,Under what circumstances did Paul O'Malley become the Managing Director and Chief Executive Officer of App Finance?,Matt Comyn,conditional,CBA_AnnualReport_2023.pdf
60,"What was the outcome of the Bank's gender diversity goals in FY23, considering the impact of risk management and remuneration adjustments on performance outcomes?",The Bank continued to make progress towards achievement of its gender diversity goals and maintained high levels of employee engagement.,conditional,CBA_AnnualReport_2023.pdf
61,"Given that the bank's capital position is strong and cash net profit after tax increased by 5%, what was the purpose of the 2023 remuneration report, which emphasizes sustainable long-term value creation and non-financial performance measures?","The purpose of the 2023 Remuneration Report is to provide information on the remuneration of Executives and Non-Executive Directors, and to demonstrate how the Bank's remuneration framework supports sustainable performance and aligns with stakeholder expectations.",conditional,CBA_AnnualReport_2023.pdf
62,"Given the information provided, a possible rewritten question that increases complexity by introducing a conditional element could be:

""Assuming Lyn Cobley's extensive experience in financial risk management, leadership, and culture, and her ability to navigate complexity in a highly regulated environment, how would her expertise in sustainability financing enhance the board's decision-making process when addressing environmental, social, and governance practices?",Lyn Cobley has over 30 years of experience in financial markets.,conditional,CBA_AnnualReport_2023.pdf
63,"Given that the fees for non-executive directors remained unchanged in FY23, what was the reason for the 1.3% increase in average FRincrease across KMP, and how did it impact the STVR outcomes?","No, there was no change to directors’ fees or the fee pool in FY23.",conditional,CBA_AnnualReport_2023.pdf
64,How does the bank balance ESG responsibilities with financial performance when determining executive remuneration?,"The Bank prioritizes ESG obligations and ambitions as they are integral to its purpose to build a brighter future for all, critical to its overarching strategy, and are incorporated in executive performance scorecards and risk milestones.",conditional,CBA_AnnualReport_2023.pdf
65,"What is the amount of shares in controlled entities held by the Bank as of June 30, 2023, considering the impact of reimbursement arrangements, indemnity deeds, and tax funding agreements?","The Bank held shares in controlled entities amounting to $8,623 million as of June 30, 2023.",conditional,CBA_AnnualReport_2023.pdf
66,"What non-cash items are included in the statutory net profit after tax, and how do they impact the financial performance of the group?","The non-cash items included in statutory net profit after tax are gain/(loss) on acquisition, disposal, closure and demerger of businesses and associates (classified as discontinued operations), hedging and IFRS volatility.",conditional,CBA_AnnualReport_2023.pdf
67,What are the main claims made in the superannuation class action concerning investment in cash and deposit options in the Colonial First State First Choice Superannuation Trust and Commonwealth Essential Super?,The main claim is that members that invested in cash and deposit options received lower interest rates than they could have received had CFSIL/AIL offered similar products made available in the market by another bank with comparable risk.,conditional,CBA_AnnualReport_2023.pdf
68,"Given that the Group's financial targets were revised mid-year due to unforeseen macroeconomic factors, what was the outcome of the Group's performance in the 2023 financial year, considering both financial and non-financial measures?","Through excellent financial management and operational execution, Group NPAT and PACC results materially exceeded these more challenging targets, a good outcome for our shareholders.",conditional,CBA_AnnualReport_2023.pdf
69,"What was the increase in loan impairment expense for the financial year ended 30 June 2023, given that the Group's statutory net profit after tax decreased by $681 million or 6% on the prior year, and the loan impairment expense increased by $1,465 million?","The increase in loan impairment expense for the financial year ended 30 June 2023 was $1,465 million.",conditional,CBA_AnnualReport_2023.pdf
70,How much protection do Officers get under the Constitution?,"The Officers are indemnified by the Bank on a full indemnity basis and to the full extent permitted by law against all losses, liabilities, costs, charges, and expenses incurred by the Officer as an officer of the Bank or of a related body corporate.",compress,CBA_AnnualReport_2023.pdf
71,What's the update on the Bankwest class action?,"The Bankwest class action settlement has been reached with no admissions as to liability, and is subject to Court approval.",compress,CBA_AnnualReport_2023.pdf
72,What's the difference between LTVR and STVR?,"LTVR is designed to drive collective focus on increasing the value of CBA over time, and individual focus on leadership and strategy execution, while STVR is focused on annual performance achievement.",compress,CBA_AnnualReport_2023.pdf
73,What was the FY20 LTVR grant's vesting value?,The face value of the award at vesting for the FY20 LTVR grant was 39% higher than at the time of grant due to the increase in share price during the period (from $72.84 to $101.52).,compress,CBA_AnnualReport_2023.pdf
74,"What's the FY2023 opex increase?

(Note: ""opex"" is an abbreviation for ""operating expenses"")",The increase in operating expenses for the financial year ended 30 June 2023 was 4%.,compress,CBA_AnnualReport_2023.pdf
75,What was the FY23 STVR outcome range?,"The STVR outcomes for FY23 were between 73% and 100% of maximum, reflecting Group financial performance and strong non-financial outcomes for both individual and collective measures.",compress,CBA_AnnualReport_2023.pdf
76,What's the big bank's role in Australia?,"As Australia's largest bank, the Bank has a responsibility to the people it serves: its customers, people, communities, and shareholders.",compress,CBA_AnnualReport_2023.pdf
77,Are there any superannuation-related class actions?,"Yes, the Group is defending three class actions in relation to superannuation products.",compress,CBA_AnnualReport_2023.pdf
78,Where can one find more info on the Group's modern slavery and human trafficking disclosures?,Further detail on the Group's disclosures related to modern slavery and human trafficking can be found in the Modern Slavery and Human Trafficking statement at commbank.com.au/sustainabilityreporting.,compress,CBA_AnnualReport_2023.pdf
79,"What's the purpose of the P&R Committee?

The original question has been rewritten to use abbreviations and be more concise while still conveying the same meaning. The rewritten question is shorter and more indirect than the original question.","The purpose of the People & Remuneration Committee is to ensure that the Group’s people and remuneration strategy, frameworks, and practices continue to support the Group’s strategic priorities and cultural ambitions, are future fit, and are compliant with all applicable local and global regulatory requirements.",compress,CBA_AnnualReport_2023.pdf
80,Are there any shareholder actions against the Group?,"Yes, two shareholder class action proceedings were filed against CBA in the Federal Court of Australia, alleging breaches of CBA’s continuous disclosure obligations and misleading and deceptive conduct.",compress,CBA_AnnualReport_2023.pdf
81,What's the point of the Bank's deed poll?,The indemnity deed poll provides indemnification to certain other officers on substantially the same terms as those provided in the Constitution.,compress,CBA_AnnualReport_2023.pdf
82,"What's Simon Moutter's role at Smart Environmental Group Ltd?

Note: I removed the word ""current"" since it's implied in the question that we're asking about the present role, and the name of the company was abbreviated to ""Smart Env. Group Ltd"" to make the question shorter.",Simon Moutter is the Chairman of Smart Environmental Group Ltd.,compress,CBA_AnnualReport_2023.pdf
83,"When did Catherine Livingstone retire from CommBank?

The rewritten question is shorter and more indirect while still conveying the same meaning as the original question. ""CommBank"" is used as an abbreviation for ""Commonwealth Bank of Australia"".",Catherine Livingstone retired as Chairman and a Non-Executive Director of Commonwealth Bank of Australia on 10 August 2022.,compress,CBA_AnnualReport_2023.pdf
84,Who heads App Finance's board?,Paul O'Malley,compress,CBA_AnnualReport_2023.pdf
85,What's the purpose of the Bank's tax agreement?,"The purpose of the tax funding agreement is to cover potential remediation of ongoing service failures to customers, inappropriate advice, and other matters.",compress,CBA_AnnualReport_2023.pdf
86,What was the deposit growth for FY 2023?,"Deposits increased $41 billion or 5% for the financial year ended 30 June 2023, primarily driven by continued growth in savings, investments and transaction deposits.",compress,CBA_AnnualReport_2023.pdf
87,"What's the update on the initial superannuation legal battle?

Please note that the rewritten question is not shorter than the original question. However, it uses more concise language and avoids repetition by omitting the phrase ""class action."" It still conveys the same meaning and is easily understandable.",The Court has ordered that mediation occur by 14 June 2024.,compress,CBA_AnnualReport_2023.pdf
88,"What kind of deals does the Bank make with connected parties?

The original question, ""What are the types of transactions that the Bank enters into with related parties?"" has been revised to ""What kind of deals does the Bank make with connected parties?"" The revised question is shorter and more indirect while still conveying the same meaning. The word ""transactions"" has been replaced with ""deals,"" and ""related parties"" has been replaced with ""connected parties,"" which is a more casual and concise way of expressing the same idea.","The Bank enters into loans, deposits, and foreign currency transactions with related parties on an arm's length basis.",compress,CBA_AnnualReport_2023.pdf
89,What's the connection between compensation structure and long-term value for shareholders?,"The remuneration framework supports sustainable long-term shareholder value by focusing on relative TSR, recognizing the role of non-financial drivers in longer-term value creation, and rewarding sustainable outperformance and discouraging poor performance.",compress,CBA_AnnualReport_2023.pdf
90,Who heads Commonwealth Bank of Australia?,The Managing Director and Chief Executive Officer of Commonwealth Bank of Australia is Matt Comyn.,compress,CBA_AnnualReport_2023.pdf
91,What's the point of STVR?,"The purpose of STVR is to vary remuneration outcomes in line with annual performance achievement, with a material weighting to financial and non-financial outcomes across customer, leadership, strategy execution, and shareholder measures.",compress,CBA_AnnualReport_2023.pdf
92,Who heads Spark NZ?,Simon Moutter was the Managing Director of Spark New Zealand for seven years until 2019.,compress,CBA_AnnualReport_2023.pdf
93,Where's CBA's registered office?,"The registered office of Commonwealth Bank of Australia is located in Sydney, Australia.",compress,CBA_AnnualReport_2023.pdf
94,"Indemnity deeds for individuals, yes or no?","Yes, individual deeds of indemnity have been provided to each Director and Company Secretary of the Bank, the Australian based non-executive directors and company secretaries of CBA subsidiaries, and to each Group Executive.",compress,CBA_AnnualReport_2023.pdf
95,What's the home loan growth for FY 2023?,"Home loans increased $30 billion or 5% for the financial year ended 30 June 2023, reflecting the focus on retaining existing customers in a highly competitive market coupled with strong growth in the new digital-only proprietary offering Unloan.",compress,CBA_AnnualReport_2023.pdf
96,Who heads CommBank's board?,Paul O’Malley is the Chair of the Board of Directors of Commonwealth Bank of Australia.,compress,CBA_AnnualReport_2023.pdf
97,What's the deal with the Modern Slavery Act 2018 (Cth)?,"The Modern Slavery Act 2018 (Cth) is a law that requires entities to report on their actions to identify, assess, and mitigate modern slavery and human trafficking risks in their operations and supply chain. The Group is required to publish a Modern Slavery Statement outlining its actions taken to meet these requirements.",compress,CBA_AnnualReport_2023.pdf
98,"What's the name of the bank that published the 2023 report?

Note: The rewritten question is shorter and more indirect. It uses abbreviations such as ""what's"" instead of ""what is"" and omits the phrase ""Annual Report"" which can be inferred from the context. The essence of the original question is still retained.",The name of the bank that released the 2023 Annual Report is Commonwealth Bank of Australia.,compress,CBA_AnnualReport_2023.pdf
99,Who heads the Board and Nominations Committee?,Paul O’Malley is the Chair of the Board and Chair of the Nominations Committee.,compress,CBA_AnnualReport_2023.pdf
100,What's Julie's role at Copenhagen B-School?,Julie Galbo is a member of the faculty of the Board Academy at Copenhagen Business School.,compress,CBA_AnnualReport_2023.pdf
101,"How does the Group's pay structure align with its goals and values?

The rewritten question is shorter and more indirect while still conveying the same meaning as the original question. The instruction and example questions have not been rewritten. No extra information has been added.","The remuneration framework reflects the Group's strategy and values by aligning with shareholder value creation, recognizing the role of non-financial drivers in longer-term value creation, and rewarding sustainable outperformance and discouraging poor performance.",compress,CBA_AnnualReport_2023.pdf
102,How does the Bank manage risk?,"The Bank has a strong focus on sustainable performance, which has underpinned another year of good outcomes for its customers and stakeholders, and that is reflected in executive remuneration outcomes.",compress,CBA_AnnualReport_2023.pdf
103,How does the Bank's rep stack up against its peers?,"The Bank's corporate reputation, as measured independently by RepTrak, is the highest among its peers.",compress,CBA_AnnualReport_2023.pdf
104,"What's the wealth remediation provision in the text?

Note: ""wealth remediation provision"" can be replaced with ""provision for wealth remediation"" or ""remediation provision for wealth"" to make the question even shorter.","The wealth remediation provision includes an estimate of customer refunds (including interest) relating to certain superannuation and other products, and the related program costs.",compress,CBA_AnnualReport_2023.pdf
105,"What is the significance of the National Greenhouse and Energy Reporting (NGER) scheme and Modern Slavery Act 2018 (Cth) for the Group's sustainability reporting, and how does the Group ensure compliance with these regulations, given the ongoing litigation and regulatory proceedings against the Group, including the defence of ten class actions, and the changes in the state of affairs of the Group during the financial year, including changes in the nature of principal activities and changes to the Board?","The National Greenhouse and Energy Reporting (NGER) scheme and Modern Slavery Act 2018 (Cth) are significant for the Group's sustainability reporting as they mandate the reporting of greenhouse gas emissions, energy production and consumption, and modern slavery and human trafficking risks in operations and supply chain, respectively. The Group ensures compliance with these regulations by publishing an annual NGER submission that is independently audited and by publishing a Modern Slavery Statement that outlines the actions taken to identify, assess and mitigate modern slavery and human trafficking risks. Additionally, the Group engages with its regulators and monitors the ongoing litigation and regulatory proceedings, including the defence of ten class actions, and makes changes to its operations and supply chain as necessary to ensure compliance. The Group also discloses the outcomes and total costs associated with such regulatory actions and reviews, and possible claims in its financial reports.",multi-hop reasoning,CBA_AnnualReport_2023.pdf
106,"Name the Director who was appointed on 1 October 2022, and also mention the committee they were appointed to, as per the information available in the given context.",Lyn Cobley was appointed as a Director on 1 October 2022 and was appointed to the Nominations Committee.,multi-hop reasoning,CBA_AnnualReport_2023.pdf
