question,answer,question_type,filename
What was the view of Finance Minister Richard Hu on the use of foreign workers in Singapore's economy in 1988?,"Finance Minister Richard Hu viewed the use of foreign workers in Singapore's economy as a buffer to cope with business cycles and economic fluctuations, but acknowledged that there were social and economic costs associated with an increasing dependence on foreign workers.",simple,Immigration_in_Singapore.pdf
What is the difference in employment rates and wages between permanent residents and Singapore citizens?,Permanent residents have higher employment rates and wages compared to Singapore citizens.,simple,Immigration_in_Singapore.pdf
How many persons were granted permanent resident status in Singapore in 2007?,"In 2007, 63,627 persons were granted permanent resident status in Singapore.",simple,Immigration_in_Singapore.pdf
What was the source of growth during the period of rapid population growth in Singapore after the second world war?,"The source of growth during the period of rapid population growth in Singapore after the second world war was natural increase, due to high fertility rates during the post-war baby boom and the dramatic increase in the female population, which was due in part to their preferential status under immigration policy starting in the 1930s.",simple,Immigration_in_Singapore.pdf
What was the outcome of the government's effort to decouple population policy from the White Paper amid growing public discontent over foreign employment and rapid population growth?,"The government's efforts to disassociate population policy from the White Paper were successful, as the White Paper was subsequently accepted by Parliament, but the government took steps to distance itself from the paper's proposals and to emphasize that population policy would be determined by the needs of the economy and society.",conditional,Immigration_in_Singapore.pdf
"What are some challenges that Singapore's foreign worker policy may face in the near future given its reliance on temporary low-skilled migrants alongside smaller numbers of medium- and high-skilled migrants, and how might these challenges be addressed through adapting and reinventing assimilation policies in a multiethnic society?","Some challenges that Singapore's foreign worker policy may face in the near future include the impact of skill-based immigration on the economic insecurity of residents in the context of rapid technological change, the continued high reliance of many sectors on low-skilled foreign manpower, and the difficulty of adapting and reinventing assimilation policies in a multiethnic society.",conditional,Immigration_in_Singapore.pdf
How does Singapore's regulation of low-skilled foreign workers balance economic growth and job opportunities for its citizens?,"The main rationale is to balance the need to supplement the labor force to sustain economic growth while keeping production costs reasonable, and at the same time to avoid excessive reliance on foreign workers.",conditional,Immigration_in_Singapore.pdf
"How did the Committee on Singapore's Competitiveness's report in 1998 shape Singapore's approach to attracting global talent and building a knowledge-based economy, and what were the underlying concerns that drove this shift in economic strategy?","The Committee on Singapore's Competitiveness's report in 1998 played a significant role in shaping Singapore's future economic strategies, as it declared that Singapore should become a knowledge economy and attract global talent to fill skill and capability gaps in the resident labor force, build connections between Singapore and global knowledge nodes, and transform Singapore from being a passive recipient of foreign investment to an active exporter of capital, talent, and capabilities to the region and the globe.",conditional,Immigration_in_Singapore.pdf
"What demographic characteristic does Singapore's naturalization policy prioritize when granting permanent resident status and eventual citizenship, aside from high skills, and how does this affect the granting of permanent residence status and eventual citizenship?","Naturalization policy in Singapore considers the demographic characteristics of the applicant, such as their ethnic and/or cultural origins, in addition to their skills.",conditional,Immigration_in_Singapore.pdf
"What was the percentage of non-resident workforce in Singapore between 1970 and 1990, and what were the reasons behind the government's policy of calibrating and reducing the foreign workforce during that period?","The percentage of non-resident workforce in Singapore was 3.2% in 1970, 11.09% in 1980, and 16.15% in 1990, according to Yeoh and Lin (2012).",conditional,Immigration_in_Singapore.pdf
"What was the proportion of non-resident migrant workers in Singapore's workforce in 1970, and how did it change over the next two decades?","The migrant workforce was relatively underrepresented in the middle-skill occupations such as Clerical, Sales, and Service Workers, and were employed at about the same levels as Singapore citizens in the lower-skill Production, Operators, and Laborer roles.",conditional,Immigration_in_Singapore.pdf
"What was the reason for the rapid growth of the non-resident workforce in Singapore during the late 2000s, amidst a bifurcated foreign labor policy and societal concerns?","The rapid growth of the non-resident workforce in Singapore during the late 2000s was largely driven by the substantial expansion of the foreign workforce, which was needed to support the economy's growth.",conditional,Immigration_in_Singapore.pdf
"What was the percentage of natural increase in population growth in Singapore between 1957 and 1971, and how did it contribute to the overall population growth during that period?",Natural increase accounted for 94.8 percent of intercensal population growth from 1957 to 1971 in Singapore.,conditional,Immigration_in_Singapore.pdf
"What was the Singapore government's policy intent regarding migrant labor in the first two decades after independence, given the government's goal of achieving a ""wholly Singaporean workforce"" by 1991 and the need for migrants to fill labor gaps in the rapidly growing economy?","The policy intent was to build a full-employment economy based on upgrading the skills and capabilities of the resident labor force, where migrants would be selectively permitted to fill skill and labor gaps, with an eye to eventual assimilation of some migrants into the Singapore citizen population.",conditional,Immigration_in_Singapore.pdf
"What was the reason for the policy shift towards attracting high-skilled migrants, given the context of Singapore's declining comparative advantage in lower- to medium-skill industries and the need for a new competitive paradigm?","The policy shift towards attracting high-skilled migrants was precipitated by Singapore's declining comparative advantage in lower- to medium-skill industries and the increasing openness and competitiveness of regional economies, particularly China.",conditional,Immigration_in_Singapore.pdf
"Considering Singapore's immigration policy, how does the country balance the need for foreign workers with the aim of maintaining a local workforce, and what measures has it implemented to manage the number of Employment Passes issued?","No, there is no quota on the number of EPs that can be granted in Singapore.",conditional,Immigration_in_Singapore.pdf
"How did the 1997 Asian Financial Crisis influence Singapore's strategy to attract and assimilate high-skilled migrants, given the country's need to remain competitive in a rapidly changing global economy?","The 1997 Asian Financial Crisis provided further impetus for reform in Singapore, as the economy was driven into a brief recession in 1998, and the associated rapid depreciation of many regional currencies worsened Singapore's cost competitiveness further.",conditional,Immigration_in_Singapore.pdf
How has the Singapore government managed the intake of foreign workers through the foreign worker levy and the dependency ratio ceiling to balance economic growth and labor market effects on citizen workers?,"The Singapore government has actively used both the foreign worker levy and the dependency ratio ceiling to achieve longer-term policy aims, as well as to manage the short-term flow of labor in response to economic cycles and other events.",conditional,Immigration_in_Singapore.pdf
"What caused the reversal in the proportion of foreign-born population in Singapore in the 1990s, and how did the government manage the social impact of this change?",The proportion of foreign-born population in Singapore started to rapidly and continuously rise in the 1990s.,conditional,Immigration_in_Singapore.pdf
"What percentage of Singapore's population are migrants, and how does this affect the country's labor market and society?","The percentage of migrants in the total population of Singapore has been steadily increasing, from 13.4% in 1960 to 33.8% in 2017.",conditional,Immigration_in_Singapore.pdf
How did the Singaporean government plan to assimilate migrants into the citizen population while minimizing reliance on foreign workers?,The government planned to give migrants who were retained beyond 1990 permanent residence with a view to citizenship.,conditional,Immigration_in_Singapore.pdf
"How did the rapid growth of the non-resident workforce in Singapore during the late 2000s affect the country's resident workforce, and how did the government respond to the emerging social and economic concerns?","The rapid growth of the non-resident workforce in Singapore led to concerns that Singapore citizen low-wage workers were experiencing wage suppression, and that high-skilled foreign workers were competing with citizens for PMET jobs.",conditional,Immigration_in_Singapore.pdf
"What was the primary concern of the 5,000-person protest against the White Paper on Population, and how did the government respond to the issue?","The protest was attended by 5,000 people in opposition to the White Paper on Population because the public perceived that the paper's proposals would lead to an increase in the number of foreign workers in Singapore, which would negatively impact the job market and the quality of life for Singaporeans.",conditional,Immigration_in_Singapore.pdf
What was the impact of the tightening of the Employment Pass scheme on foreign worker employment in Singapore?,"The tightening of the Employment Pass scheme in 2012 resulted in a significant decrease in the number of Employment Pass holders, from around 30,000 per year to around 20,000 per year.",conditional,Immigration_in_Singapore.pdf
"What was the primary reason for the tightening of foreign worker policy in Singapore, given the rapid population growth and public discontent with wage suppression, higher expectations from employers, discrimination against Singapore citizens, and underemployment for high-skilled citizens?","The main reason for the tightening of foreign worker policy was the growing discontent among Singapore citizens towards the increasing number of foreign workers in the country, which was perceived to be contributing to wage suppression, higher expectations from employers, discrimination against Singapore citizens, and underemployment for high-skilled citizens.",conditional,Immigration_in_Singapore.pdf
"What was the projected total population of Singapore by 2030, and how did the government respond to public discontent regarding foreign employment and rapid population growth?","According to the White Paper on Population, the projected total population of Singapore by 2030 was 6.9 million, supplemented by a non-resident population of 2.9 million to 3.1 million and an increase in new citizenship and permanent residents granted.",conditional,Immigration_in_Singapore.pdf
"How does Singapore's naturalization policy support the principles of ""Gathering Talent"" while managing the social impact of a large foreign workforce?","In 2007, 17,334 persons were granted Singapore citizenship.",conditional,Immigration_in_Singapore.pdf
"What was the policy of the government regarding non-resident workers in Singapore since 1990, given the acknowledged significant long-term structural, societal, and economic trade-offs associated with accepting them as a permanent feature of the labor force?","The policy of the government regarding non-resident workers in Singapore since 1990 has been to accept them as a permanent feature of the Singapore labor force, albeit one with acknowledged significant long-term structural, societal, and economic trade-offs.",conditional,Immigration_in_Singapore.pdf
"How did the migrant contribution to the labor force change between 1970 and 1980, given the government's policy of minimizing reliance on foreign workers and aiming to have a wholly Singaporean workforce by 1991?","Non-resident migrant employment had grown to 7.3 percent of the labor force by 1980, but their skill distribution continued to be essentially bimodal, concentrated at both the high-skilled and low-skilled end.",conditional,Immigration_in_Singapore.pdf
"How did Finance Minister Richard Hu describe the key to managing economic growth in Singapore in 1988, and how did the government's policy on foreign workers evolve in the following decades to address concerns about dependence on foreign labor and promote a knowledge -based economy?","The key to managing economic growth was flexibility, and the government had been using a pool of foreign workers as a buffer to cope with business cycles and economic fluctuations.",conditional,Immigration_in_Singapore.pdf
"Given that the paper serves as a background paper to the World Development Report 2023 and discusses the history and current state of immigration policies in Singapore, what implications does this have for the paper's purpose and target audience?","The fact that the paper is a background paper to the World Development Report 2023 indicates that it is an official document providing context and information to inform the development of the report, and that the findings, interpretations, and conclusions expressed in the paper are entirely those of the authors and do not necessarily represent the views of the International Bank for Reconstruction and Development/World Bank and its affiliated organizations, or those of the Executive Directors of the World Bank or the governments they represent.",conditional,Immigration_in_Singapore.pdf
"How did the Singaporean government respond to the population's backlash against foreign workers, given the dual role of foreign workers in supporting economic growth and creating social tensions?","The government's response to the population backlash against foreign workers in Singapore was to adjust policies to accommodate sectoral challenges or opportunities, such as adjusting the foreign worker levy and dependency ratio ceiling, and introducing the S Pass system for medium-skilled workers.",conditional,Immigration_in_Singapore.pdf
"What was the primary reason for Singapore's separation from the Federation of Malaysia in 1965, considering the context of population growth and economic development?","According to the text, the main reason for the separation of Singapore from the Federation of Malaysia in 1965 was the traumatic sociopolitical conditions.",conditional,Immigration_in_Singapore.pdf
"How does Singapore's immigration policy balance the need for high-skilled workers with the need to protect the interests of its citizen labor force, particularly in light of circular migration for study and work?","Singapore citizens have experienced circular migration for study and work, with policies that facilitate such flows.",conditional,Immigration_in_Singapore.pdf
How does Singapore's immigration policy balance the need for economic growth with the potential risks of structural economic insecurity and reinventing itself?,"Migrant workers act as a buffer against macroeconomic cycles, allowing for rapid expansion of the labor force while taming inflation during booms, and moderating the impact of busts on resident employment through selective attrition of the foreign workforce.",conditional,Immigration_in_Singapore.pdf
How does the Economic Development Board in Singapore balance the need for foreign labor to support economic growth with the need to protect the interests of local workers and maintain a stable population?,The Economic Development Board in Singapore is responsible for engaging foreign investors and multinational enterprises and prioritizing their needs in terms of labor market reforms and foreign manpower.,conditional,Immigration_in_Singapore.pdf
"What was the percentage of Singapore's population that was aged 14 and below in 1966, given that the government was focused on promoting economic development to address an imminent unemployment crisis and was limiting immigration to prioritize its citizens?","According to the text, 42.8% of the population in Singapore was aged 14 and below in 1966.",conditional,Immigration_in_Singapore.pdf
What was the recommendation of the 1985-1986 Economic Committee regarding the use of foreign workers to address labor shortages and improve economic competitiveness in Singapore?,The 1985-1986 Economic Committee recommended that Singapore will require foreign workers to overcome temporary shortages and work in jobs where it has proven difficult to employ Singaporeans.,conditional,Immigration_in_Singapore.pdf
"What was the percentage of non-resident workforce in Singapore's total workforce in 1990, given the government's initial aim to phase out foreign workers by 1991, and how did the country's rapid industrialization and growth lead to a growing reliance on foreign labor despite policy levers like the Foreign Worker Levy system and the Dependency Ratio Ceiling policy?","The non-resident workforce in Singapore rose to 248,200, or nearly 1 in 6 workers, in 1990.",conditional,Immigration_in_Singapore.pdf
"How did Singapore's foreign labor policy change in the 1990s, given the country's need for a competitive workforce and the challenges posed by regional economic growth?","The government's policy on foreign labor from independence until the 1990s was to accommodate the permanent, but highly restricted, presence of low-wage foreign labor.",conditional,Immigration_in_Singapore.pdf
"What was the reason for the tightening of foreign worker policy and increase in foreign worker levy in Singapore from 2011 to 2013, given the backdrop of a rapidly growing foreign workforce and increasing public discontent?",The foreign worker levy was increased in 2011-2013 to discourage employers from hiring too many foreign workers and to encourage them to hire more local workers instead.,conditional,Immigration_in_Singapore.pdf
What steps did the Ministry of Manpower take in 2012 to address concerns about foreign workers and rapid population growth?,"The MOM revised its Employment Pass scheme in 2012 by tightening its eligibility requirements, including increasing the qualifying salaries of the P2 Pass and Q1 Pass, and raising the bar for older applicants to qualify for the Q1 Pass.",conditional,Immigration_in_Singapore.pdf
"What was the primary factor that led to the surge in Singapore's non-resident workforce between 1990 and 2008, amid a declining fertility rate and a shift towards a knowledge-based economy?","The growth of the non-resident workforce in Singapore was due to the government's efforts to attract and recruit highly skilled workers globally, as well as the lack of any explicit policy of assimilation and policy ambivalence toward foreign workers more generally.",conditional,Immigration_in_Singapore.pdf
What's the status of foreign worker levies and ratio ceiling in SG?,"The foreign worker levy and dependency ratio ceiling were continually adjusted to calibrate the flow of and demand for low-skilled workers, while the approval criteria for high-skilled workers' Employment Passes were adjusted to ensure that incoming workers filled positions that required skills that were relatively rare in the resident population.",compress,Immigration_in_Singapore.pdf
What was Toh Chin Chye's stance on migration?,"According to the text, the Deputy Prime Minister of Singapore, Toh Chin Chye, believed that migration was, and would continue to be, the basis for Singapore's continued vitality and relevance as a nation.",compress,Immigration_in_Singapore.pdf
What's the aim of Singapore's WP scheme?,"The Work Permit (WP) scheme is designed to allow foreign workers from approved source countries to work for a specified employer in certain sectors, such as construction, manufacturing, marine shipyard, process or the services sector.",compress,Immigration_in_Singapore.pdf
What's the holdup with workers in Singapore?,"The slowdown in assimilation into the resident workforce in Singapore was due to measures to slow or halt foreign workforce growth, as well as a reduction in inflows of foreign students.",compress,Immigration_in_Singapore.pdf
What's the name of the committee that attracts skilled workers?,The name of the committee established in 1998 to attract and recruit highly skilled workers was the Singapore Talent and Recruitment (STAR) committee.,compress,Immigration_in_Singapore.pdf
What was the social impact of openness to immigration?,Openness to immigration was also precipitated by the belated recognition that Singapore's labor market problem had shifted from finding full employment for a rapidly growing population to finding a sufficiently large population for a rapidly growing economy.,compress,Immigration_in_Singapore.pdf
What was the outcome of Singapore's foreign labor policy split?,"The bifurcation of foreign labor policy in Singapore resulted in a ""Foreign Talent"" strategy for high-skilled workers and a ""Foreign Worker"" strategy for low-skilled workers.",compress,Immigration_in_Singapore.pdf
What fueled Singapore's 80s growth spurt?,"Singapore's rapid industrialization and growth in the 1980s produced skills and labor shortages, which government policy sought to address by granting permission for industrial concerns to bring in skilled labor from outside Singapore.",compress,Immigration_in_Singapore.pdf
What was the issue with foreign workers in Singapore?,"The concern regarding low-skilled foreign workers in Singapore was that they were experiencing wage suppression from the ready availability of Work Permit holders, who were generally willing to work for lower effective wages than citizens.",compress,Immigration_in_Singapore.pdf
What's the salary requirement for S Pass holders in SG?,"The qualifying salary criteria for S Pass holders is set at more than S$3,000 but less than S$5,000, with a degree or diploma, and relevant work experience.",compress,Immigration_in_Singapore.pdf
What helped Singapore weather economic storms?,"The advantage of foreign labor in managing macroeconomic shocks in Singapore was that they were a source of highly mobile labor that could improve economic competitiveness by relieving wage pressures, skills, and labor shortages during booms, and bear the brunt of job market restructuring in any busts.",compress,Immigration_in_Singapore.pdf
What was the goal of Singapore's Regulation of Employment Act?,"According to the text, the purpose of the Regulation of Employment Act was to require lower-wage non-citizens to obtain Work Permits before employment, with the policy intent of barring low-skilled migrants from Malaysia from competing with Singapore citizen workers.",compress,Immigration_in_Singapore.pdf
"What's the underlying principle behind Singapore's immigration policies, according to the text?","According to the text, the fundamental theme that underpins immigration policy in Singapore is the use of rapidly imported migrant labor to fill the economic needs of a rapidly growing economy, the equally swift dispensation with migrants when economic challenges arise, and the transformation, over time, of migrants - on an increasingly selective basis - into residents.",compress,Immigration_in_Singapore.pdf
What's the meaning of tripartism in Singapore's labor policy?,"Tripartism in the context of labor force policy in Singapore refers to the cooperative role of the government, employers, and labor unions in sustaining employment, business growth, and wage growth.",compress,Immigration_in_Singapore.pdf
What was the CSC's 1998 report?,"The Committee on Singapore's Competitiveness's report in 1998 declared that Singapore should become a knowledge economy where the basis for competitiveness would be the capabilities and intellectual capital to absorb, process, and apply knowledge.",compress,Immigration_in_Singapore.pdf
What are the major constraints on Singapore's immigration policy looking ahead?,"The three serious limitations to Singapore's immigration policy in the near future are: (1) structural economic insecurity faced by the Singapore citizen labor force in the presence of technological change and open high-skilled immigration policy, (2) the inability of the economy to wean itself off low-wage, low-skilled migrant labor, and (3) the challenges Singapore faces in reinventing itself when long-term migrant assimilation has thus far simply replicated the colonial-era societal status quo.",compress,Immigration_in_Singapore.pdf
What was the issue with skilled foreign workers in SG?,"The concern regarding high-skilled foreign workers in Singapore was that the rapid growth in migrant high-skilled workers led to keen competition for Professional, Managerial, Executive, and Technical (PMET) jobs, which were demanded by an increasingly well-educated Singapore citizen workforce.",compress,Immigration_in_Singapore.pdf
How did the Great Depression affect work in Singapore?,"The Great Depression resulted in a severe but brief shock to labor demand in the early 1930s and precipitated a large-scale repatriation exercise of unemployed migrants to their sources in China and India, briefly reversing population growth with a net outflow of some 389,000 migrants from British Malaya.",compress,Immigration_in_Singapore.pdf
What was Singapore's post-independence priority?,"According to the text, the priority of the post-independence government of Singapore was to promote economic development to resolve an imminent unemployment crisis.",compress,Immigration_in_Singapore.pdf
What was the aim of the 1982 Foreign Worker Levy system?,The policy objective of the Foreign Worker Levy system introduced in 1982 was to calibrate and reduce the foreign workforce in Singapore.,compress,Immigration_in_Singapore.pdf
How does Singapore handle foreign workers?,"The approach to managing foreign labor in Singapore differs substantially by the skill level of migrants. Low-skilled migrants are viewed as temporary guest workers and are subject to strict conditions, while skilled foreigners are encouraged to bring their families and have a path to permanent residency or citizenship.",compress,Immigration_in_Singapore.pdf
What was the ruling party's vote share in 2011?,"The ruling party received 60.14% of the voter share in the 2011 general election, which was a significant decrease from the 66.6% they received in 2006.",compress,Immigration_in_Singapore.pdf
What led to Singapore's fertility rate drop?,"Fertility rates in Singapore declined significantly over the years, from one of the world's highest fertility rates in the 1950s to less than replacement fertility by the late 1970s, despite significant efforts to encourage marriage and procreation, particularly among higher-educated couples.",compress,Immigration_in_Singapore.pdf
What drives migration to SG?,The main source of migrant inflow into Singapore is foreign workers.,compress,Immigration_in_Singapore.pdf
What's the underlying theme in SG immigration policy?,"The use of rapidly imported migrant labor to fill the economic needs of a rapidly growing economy, the equally swift dispensation with migrants when economic challenges arise, and the transformation, over time, of migrants —on an increasingly selective basis —into residents.",compress,Immigration_in_Singapore.pdf
What was the number of foreign workers in S'pore in 2009?,The number of foreign workers in Singapore in 2009 was around 1.044 million.,compress,Immigration_in_Singapore.pdf
What was the number of foreign workers in S'pore in 2016?,The number of foreign workers in Singapore in 2016 was around 1.415 million.,compress,Immigration_in_Singapore.pdf
What's the name of the first budget plan after Singapore's independence?,"According to the text, the first Budget Statement of independent Singapore was delivered by Finance Minister Lim Kim San.",compress,Immigration_in_Singapore.pdf
What's the impact of immigration on Singapore's economy?,"The economic consequences of immigration in Singapore include impacts on employment, labor supply, skills, and sectoral allocation of Singapore residents (citizens and permanent residents), as well as on industrial structure and productivity.",compress,Immigration_in_Singapore.pdf
"Foreign worker levy, how's it work in SG?","The foreign worker levy varies by sector, source country, and skill level of the migrant.",compress,Immigration_in_Singapore.pdf
What's the significance of the dependency ratio ceiling for Singaporean employers?,"The purpose of the dependency ratio ceiling is to limit the number of foreign workers that an employer can hire, in order to preserve resident jobs and promote complementarity between resident workers and foreign workers.",compress,Immigration_in_Singapore.pdf
What's the DRC policy all about?,The Dependency Ratio Ceiling (DRC) policy was introduced in 1982 to limit the maximum permitted ratio of Work Permit holders in an employer’s overall workforce.,compress,Immigration_in_Singapore.pdf
"How does the Foreign Maid Scheme introduced in 1978 and the requirement for employers to pay a monthly levy with concessionary rates available to older employers, those with disabilities, as well as employers residing with young children, older parents/grandparents, and/or disabled family members, relate to the management of the EP qualifying salary and the ability to adjust prices and affect business costs quickly in response to external labor market conditions?","The Foreign Maid Scheme introduced in 1978 and the requirement for employers to pay a monthly levy with concessionary rates available to certain employers are part of Singapore's broader immigration policy aimed at managing the inflow of foreign workers and ensuring affordable childcare and elder care to encourage female residents to enter the labor force. The ability to adjust prices and affect business costs quickly in response to external labor market conditions is illustrated by the series of foreign worker levy rebates that were rolled out during the COVID-19 pandemic. The management of the EP qualifying salary, which is meant to maintain the quality of EP holders to be comparable to the upper one-third of resident workers in the same skill category, is also part of this broader immigration policy. By managing the qualifying salary, the government can ensure that foreign professionals, managers, and executives are attracted to work in Singapore while also protecting the resident labor force. The various criteria governing the issuance of the EP, such as the requirement for employers to demonstrate that they have fairly considered residents for the role, also help to protect the resident labor force.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How has the Foreign Maid Scheme evolved over time in response to changes in Singapore's labor market and immigration policies, and what role does it play in supporting the country's workforce and economy?","The Foreign Maid Scheme has undergone changes over time in response to shifts in Singapore's labor market and immigration policies. For instance, the government has adjusted the levy and dependency ratio ceiling to manage the flow of foreign workers. Additionally, the scheme has played a crucial role in supporting the country's workforce and economy by providing affordable childcare and elder care, enabling women to enter the labor force, and meeting the demand for low-skilled migrant workers. Today, there are about 250,000 foreign domestic workers in Singapore, and employers must meet specific requirements to hire them, such as paying a monthly levy and demonstrating significant care needs.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What specific factors contributed to the government's decision to aim for a 'wholly Singaporean workforce' by 1991, and how did their approach to migrant labor change over time?","The government's decision to phase out foreign workers was influenced by their goal of building a fully employed economy based on upgrading the skills and capabilities of the resident labor force. They aimed to selectively permit migrants to fill skill and labor gaps, with an eye to eventual assimilation of some migrants into the Singapore citizen population. By 1982, the government announced its plan to minimize reliance on foreign workers and build up a wholly Singaporean workforce over the next 10 years, with work permit holders being gradually phased out. The approach to migrant labor shifted from a small supplement to the overall labor force to a more homogenous workforce working together as a team, with a focus on raising productivity and eventually offering permanent residence with a view to citizenship to workers who would contribute to productivity.",multi-hop reasoning,Immigration_in_Singapore.pdf
