question,answer,tokens_present,document
What was the percentage of natural increase accounting for intercensal population growth from 1957 to 1971 in Singapore?,Natural increase accounted for 94.8 percent of intercensal population growth from 1957 to 1971 in Singapore.,['94.8 percent'],Immigration_in_Singapore.pdf
What was the population of Singapore in 1970?,"According to the text, the population of Singapore in 1970 was 314,000.","['314,000']",Immigration_in_Singapore.pdf
What was the sex ratio of Singapore in 1957?,"According to the text, the sex ratio of Singapore in 1957 was just above 1.1.",['1.1'],Immigration_in_Singapore.pdf
What was the main reason for the separation of Singapore from the Federation of Malaysia in 1965?,"According to the text, the main reason for the separation of Singapore from the Federation of Malaysia in 1965 was the traumatic sociopolitical conditions.","['traumatic', 'sociopolitical', 'conditions']",Immigration_in_Singapore.pdf
What was the priority of the post-independence government of Singapore?,"According to the text, the priority of the post-independence government of Singapore was to promote economic development to resolve an imminent unemployment crisis.","['priority', 'post-independence', 'government', 'Singapore', 'economic', 'development', 'unemployment', 'crisis']",Immigration_in_Singapore.pdf
What was the percentage of the population in Singapore that was aged 14 and below in 1966?,"According to the text, 42.8% of the population in Singapore was aged 14 and below in 1966.",['42.8%'],Immigration_in_Singapore.pdf
What was the purpose of the Regulation of Employment Act passed by the government of Singapore?,"According to the text, the purpose of the Regulation of Employment Act was to require lower-wage non-citizens to obtain Work Permits before employment, with the policy intent of barring low-skilled migrants from Malaysia from competing with Singapore citizen workers.","['require', 'lower-wage', 'non-citizens', 'Work Permits', 'policy', 'intent', 'barring', 'low-skilled', 'migrants', 'Malaysia', 'competing', 'Singapore', 'citizen', 'workers']",Immigration_in_Singapore.pdf
"What was the view of the Deputy Prime Minister of Singapore, Toh Chin Chye, on migration?","According to the text, the Deputy Prime Minister of Singapore, Toh Chin Chye, believed that migration was, and would continue to be, the basis for Singapore's continued vitality and relevance as a nation.","['migration', 'Toh Chin Chye', 'Singapore']",Immigration_in_Singapore.pdf
"What was the view of the Minister of Labor of Singapore, Jek Yeun Thong, on work permits for non-citizens?","According to the text, the Minister of Labor of Singapore, Jek Yeun Thong, declared that work permits would be freely issued to non-citizens who have special training, skills, and qualifications, as they would be welcome in Singapore.","['freely', 'non-citizens', 'special', 'training', 'skills', 'qualifications', 'welcome']",Immigration_in_Singapore.pdf
"What is the fundamental theme that underpins immigration policy in Singapore, according to the text?","According to the text, the fundamental theme that underpins immigration policy in Singapore is the use of rapidly imported migrant labor to fill the economic needs of a rapidly growing economy, the equally swift dispensation with migrants when economic challenges arise, and the transformation, over time, of migrants - on an increasingly selective basis - into residents.","['use', 'imported', 'migrant', 'labor', 'economic', 'needs', 'rapidly', 'growing', 'swift', 'dispensation', 'challenges', 'transform', 'residents']",Immigration_in_Singapore.pdf
What was the name of the first Budget Statement of independent Singapore?,"According to the text, the first Budget Statement of independent Singapore was delivered by Finance Minister Lim Kim San.",['Lim Kim San'],Immigration_in_Singapore.pdf
"What was the percentage of non-citizen, non-resident workers in Singapore's labor force at independence?",3.18%,['3.18%'],Immigration_in_Singapore.pdf
What was the distribution of migrant workers in Singapore's labor force in 1970?,"The migrant workforce was relatively underrepresented in the middle-skill occupations such as Clerical, Sales, and Service Workers, and were employed at about the same levels as Singapore citizens in the lower-skill Production, Operators, and Laborer roles.","['migrant', 'workforce', 'Singapore', 'labor', 'force', '1970']",Immigration_in_Singapore.pdf
What was the policy intent of the Singapore government regarding migrant labor in the first two decades after independence?,"The policy intent was to build a full-employment economy based on upgrading the skills and capabilities of the resident labor force, where migrants would be selectively permitted to fill skill and labor gaps, with an eye to eventual assimilation of some migrants into the Singapore citizen population.","['full-employment economy', 'skills', 'capabilities', 'resident labor force', 'migrants', 'skill and labor gaps', 'assimilation', 'Singapore citizen population']",Immigration_in_Singapore.pdf
What was the goal of the government regarding foreign workers in 1982?,The government aimed to have “a wholly Singaporean workforce without any work permit holder at all by 1991.”,"['wholly Singaporean workforce', '1991']",Immigration_in_Singapore.pdf
What was the view of founding Prime Minister Lee Kuan Yew regarding foreign workers in 1982?,"Lee Kuan Yew announced that the government aimed to have “a wholly Singaporean workforce without any work permit holder at all by 1991. Workers we want to retain beyond 1990 should be those who will raise our level of productivity. We shall give such workers permanent residence with a view to citizenship. Then we shall have a more homogenous workforce, working together as a team, because they all feel committed to Singapore.”","['Lee Kuan Yew', 'workforce', 'permanent residence', 'citizenship', 'homogenous workforce', 'Singapore']",Immigration_in_Singapore.pdf
What was the plan of the government regarding foreign workers in the construction industry?,The government aimed to phase out foreign workers in the construction workforce by 1991.,"['phase out', 'foreign workers', 'construction workforce', 'by 1991']",Immigration_in_Singapore.pdf
How did the migrant contribution to the labor force change between 1970 and 1980?,"Non-resident migrant employment had grown to 7.3 percent of the labor force by 1980, but their skill distribution continued to be essentially bimodal, concentrated at both the high-skilled and low-skilled end.","['7.3 percent', '1970', '1980']",Immigration_in_Singapore.pdf
What was the reason for the government's decision to phase out foreign workers?,"The government believed that the use of migrant labor was necessary but only temporary, and that excessive or permanent reliance on it would have undesirable consequences politically, socially, and economically.","['necessary', 'temporary', 'undesirable', 'politically', 'socially', 'economically']",Immigration_in_Singapore.pdf
How did the government plan to assimilate migrants into the Singapore citizen population?,The government planned to give migrants who were retained beyond 1990 permanent residence with a view to citizenship.,"['permanent residence', 'citizenship']",Immigration_in_Singapore.pdf
What was the overall theme that underpinned immigration policy in Singapore until the present day?,"The use of rapidly imported migrant labor to fill the economic needs of a rapidly growing economy, the equally swift dispensation with migrants when economic challenges arise, and the transformation, over time, of migrants —on an increasingly selective basis —into residents.","['migrants', 'economy', 'Singapore']",Immigration_in_Singapore.pdf
What was the aim of the Government in Singapore in regards to foreign workers in the construction workforce by 1991?,"The aim of the Government in Singapore was to phase out foreign workers in the construction workforce by 1991, as stated by Mr. Lee Yock Suan, the Minister of State for National Development.","['phase out', 'foreign workers', 'construction workforce', 'by 1991']",Immigration_in_Singapore.pdf
What was the policy objective of the Foreign Worker Levy system introduced in 1982?,The policy objective of the Foreign Worker Levy system introduced in 1982 was to calibrate and reduce the foreign workforce in Singapore.,"['calibrate', 'reduce', 'foreign', 'workforce', 'Singapore']",Immigration_in_Singapore.pdf
What was the Dependency Ratio Ceiling (DRC) policy introduced in 1982?,The Dependency Ratio Ceiling (DRC) policy was introduced in 1982 to limit the maximum permitted ratio of Work Permit holders in an employer’s overall workforce.,"['introduced', '1982', 'Work', 'Permit', 'holders', 'employer', 'workforce']",Immigration_in_Singapore.pdf
"What was the percentage of non-resident workforce in Singapore in 1970, 1980, and 1990?","The percentage of non-resident workforce in Singapore was 3.2% in 1970, 11.09% in 1980, and 16.15% in 1990, according to Yeoh and Lin (2012).","['3.2%', '11.09%', '16.15%']",Immigration_in_Singapore.pdf
What was the reason for Singapore's rapid industrialization and growth in the 1980s?,"Singapore's rapid industrialization and growth in the 1980s produced skills and labor shortages, which government policy sought to address by granting permission for industrial concerns to bring in skilled labor from outside Singapore.","['skilled labor', 'government policy', 'industrial concerns']",Immigration_in_Singapore.pdf
What was the advantage of foreign labor in managing macroeconomic shocks in Singapore?,"The advantage of foreign labor in managing macroeconomic shocks in Singapore was that they were a source of highly mobile labor that could improve economic competitiveness by relieving wage pressures, skills, and labor shortages during booms, and bear the brunt of job market restructuring in any busts.","['highly', 'mobile', 'labor', 'improve', 'economic', 'competitiveness', 'relieving', 'wage', 'pressures', 'skills', 'labor', 'shortages', 'booms', 'bear', 'brunt', 'job', 'market', 'restructuring', 'busts']",Immigration_in_Singapore.pdf
What was the recommendation of the 1985-1986 Economic Committee set up by the government to examine and restructure the economy?,The 1985-1986 Economic Committee recommended that Singapore will require foreign workers to overcome temporary shortages and work in jobs where it has proven difficult to employ Singaporeans.,"['recommended', 'foreign', 'workers', 'temporary', 'shortages', 'jobs', 'difficult', 'employ', 'Singaporeans']",Immigration_in_Singapore.pdf
What was the number of non-resident workforce in Singapore in 1990?,"The non-resident workforce in Singapore rose to 248,200, or nearly 1 in 6 workers, in 1990.","['248,200']",Immigration_in_Singapore.pdf
What was the policy of the government regarding non-resident workers in Singapore since 1990?,"The policy of the government regarding non-resident workers in Singapore since 1990 has been to accept them as a permanent feature of the Singapore labor force, albeit one with acknowledged significant long-term structural, societal, and economic trade-offs.","['accept', 'permanent', 'feature', 'Singapore', 'labor', 'force', 'acknowledged', 'significant', 'long-term', 'structural', 'societal', 'economic', 'trade-offs']",Immigration_in_Singapore.pdf
What was the view of Finance Minister Richard Hu on the use of foreign workers in Singapore's economy in 1988?,"Finance Minister Richard Hu viewed the use of foreign workers in Singapore's economy as a buffer to cope with business cycles and economic fluctuations, but acknowledged that there were social and economic costs associated with an increasing dependence on foreign workers.","['Finance', 'Minister', 'Richard', 'Hu', 'viewed', 'use', 'foreign', 'workers', 'Singapore', 'economy', 'buffer', 'cope', 'business', 'cycles', 'economic', 'fluctuations', 'acknowledged', 'social', 'economic', 'costs', 'associated', 'increasing', 'dependence', 'foreign', 'workers']",Immigration_in_Singapore.pdf
What was the key to managing economic growth according to Finance Minister Richard Hu in 1988?,"The key to managing economic growth was flexibility, and the government had been using a pool of foreign workers as a buffer to cope with business cycles and economic fluctuations.",['flexibility'],Immigration_in_Singapore.pdf
What was the government's policy on foreign labor from independence until the 1990s?,"The government's policy on foreign labor from independence until the 1990s was to accommodate the permanent, but highly restricted, presence of low-wage foreign labor.","['independence', 'foreign', 'labor', 'policy', 'government']",Immigration_in_Singapore.pdf
What changed in the mid-1990s regarding the government's policy on high-skilled migrants?,"In the mid-1990s, the government began developing policies to attract and assimilate large numbers of high-skilled migrants.","['mid-1990s', 'government', 'policies', 'attract', 'assimilate', 'high-skilled', 'migrants']",Immigration_in_Singapore.pdf
What was the reason for the policy shift towards attracting high-skilled migrants?,"The policy shift towards attracting high-skilled migrants was precipitated by Singapore's declining comparative advantage in lower- to medium-skill industries and the increasing openness and competitiveness of regional economies, particularly China.","['Singapore', 'China']",Immigration_in_Singapore.pdf
What was the Committee on Singapore's Competitiveness's report in 1998?,"The Committee on Singapore's Competitiveness's report in 1998 declared that Singapore should become a knowledge economy where the basis for competitiveness would be the capabilities and intellectual capital to absorb, process, and apply knowledge.","['Singapore', 'knowledge economy', 'absorb', 'process', 'apply', 'knowledge']",Immigration_in_Singapore.pdf
What was the goal of attracting global talent to Singapore?,"The goal of attracting global talent to Singapore was to fill skill and capability gaps in the resident labor force, build connections between Singapore and global knowledge nodes, and transform Singapore from being a passive recipient of foreign investment to an active exporter of capital, talent, and capabilities to the region and the globe.","['fill', 'capability', 'gaps', 'resident', 'labour', 'force', 'build', 'connections', 'Singapore', 'passive', 'recipient', 'foreign', 'investment', 'active', 'exporter', 'capital', 'talent', 'capabilities', 'region', 'globe']",Immigration_in_Singapore.pdf
What was the social front precipitated by openness to immigration?,Openness to immigration was also precipitated by the belated recognition that Singapore's labor market problem had shifted from finding full employment for a rapidly growing population to finding a sufficiently large population for a rapidly growing economy.,"['recognition', 'labor', 'market', 'problem', 'shifted', 'finding', 'full', 'employment', 'rapidly', 'growing', 'population', 'sufficiently', 'large', 'economy']",Immigration_in_Singapore.pdf
What was the reason for the decline in fertility rates in Singapore?,"Fertility rates in Singapore declined significantly over the years, from one of the world's highest fertility rates in the 1950s to less than replacement fertility by the late 1970s, despite significant efforts to encourage marriage and procreation, particularly among higher-educated couples.","['significantly', 'less', 'replacement', 'fertility', 'couples']",Immigration_in_Singapore.pdf
What was the impact of the 1997 Asian Financial Crisis on Singapore's economy?,"The 1997 Asian Financial Crisis provided further impetus for reform in Singapore, as the economy was driven into a brief recession in 1998, and the associated rapid depreciation of many regional currencies worsened Singapore's cost competitiveness further.","['recession', 'cost competitiveness']",Immigration_in_Singapore.pdf
What was the significance of the Committee on Singapore's Competitiveness's report in shaping Singapore's future economic strategies?,"The Committee on Singapore's Competitiveness's report in 1998 played a significant role in shaping Singapore's future economic strategies, as it declared that Singapore should become a knowledge economy and attract global talent to fill skill and capability gaps in the resident labor force, build connections between Singapore and global knowledge nodes, and transform Singapore from being a passive recipient of foreign investment to an active exporter of capital, talent, and capabilities to the region and the globe.","['Singapore', 'knowledge economy', 'global talent', 'skill', 'capability', 'labor force', 'foreign investment', 'capital', 'talent', 'capabilities', 'region', 'globe']",Immigration_in_Singapore.pdf
What was the fertility rate of Singapore in the 1950s?,The fertility rate of Singapore in the 1950s was one of the highest in the world.,"['one', 'highest', 'world']",Immigration_in_Singapore.pdf
What was the fertility rate of Singapore by the late 1970s?,The fertility rate of Singapore by the late 1970s was less than replacement fertility.,"['less', 'than', 'replacement', 'fertility']",Immigration_in_Singapore.pdf
What was the main reason for the decline in fertility rate in Singapore?,"The main reason for the decline in fertility rate in Singapore was the government's efforts to encourage marriage and procreation, particularly among higher-educated couples.","[""government's efforts"", 'marriage', 'procreation', 'higher-educated couples']",Immigration_in_Singapore.pdf
What was the focus of the Prime Minister's speech in 1997?,"The focus of the Prime Minister's speech in 1997 was on outlining the government's plans for ""Gathering Talent,"" stating that Singapore needed intellectual capital to be a successful knowledge-based economy.","['Gathering Talent', 'intellectual capital', 'knowledge-based economy']",Immigration_in_Singapore.pdf
"What was the goal of the ""Gathering Talent"" initiative?","The goal of the ""Gathering Talent"" initiative was to attract and recruit highly skilled workers globally.","['attract', 'recruit', 'highly skilled', 'workers', 'globally']",Immigration_in_Singapore.pdf
What was the name of the committee established in 1998 to attract and recruit highly skilled workers?,The name of the committee established in 1998 to attract and recruit highly skilled workers was the Singapore Talent and Recruitment (STAR) committee.,['STAR'],Immigration_in_Singapore.pdf
"What was the purpose of the ""Global Schoolhouse"" project?","The purpose of the ""Global Schoolhouse"" project was to make Singapore a hub for international universities and to attract high-potential students to study in Singapore.","['Singapore', 'hub', 'international', 'universities', 'study']",Immigration_in_Singapore.pdf
What was the size of the non-resident labor force in 2008?,"The non-resident labor force in 2008 was more than one million workers, comprising more than one-third (34.41%) of the total workforce.","['more than one million', '34.41%']",Immigration_in_Singapore.pdf
What was the reason for the growth of the non-resident workforce in Singapore?,"The growth of the non-resident workforce in Singapore was due to the government's efforts to attract and recruit highly skilled workers globally, as well as the lack of any explicit policy of assimilation and policy ambivalence toward foreign workers more generally.","[""government's efforts"", 'highly skilled workers', 'lack of explicit policy', 'assimilation', 'policy ambivalence', 'foreign workers']",Immigration_in_Singapore.pdf
What was the trend in the proportion of foreign-born population in Singapore from 1960 to the 1990s?,The proportion of foreign-born population in Singapore gradually declined and plateaued from 1960 to the 1990s.,"['declined', 'plateaued']",Immigration_in_Singapore.pdf
What was the reason for the decline in the proportion of foreign-born population in Singapore during the period?,The decline was due to the lack of any explicit policy of assimilation and policy ambivalence toward foreign workers.,"['lack', 'assimilation', 'policy', 'ambivalence', 'foreign workers']",Immigration_in_Singapore.pdf
What happened to the proportion of foreign-born population in Singapore in the 1990s?,The proportion of foreign-born population in Singapore started to rapidly and continuously rise in the 1990s.,"['rapidly', 'rise']",Immigration_in_Singapore.pdf
How many persons were granted permanent resident status in Singapore in 2007?,"In 2007, 63,627 persons were granted permanent resident status in Singapore.","['63,627']",Immigration_in_Singapore.pdf
How many persons were granted Singapore citizenship in 2007?,"In 2007, 17,334 persons were granted Singapore citizenship.","['17,334']",Immigration_in_Singapore.pdf
What is the assumption regarding the majority of those granted permanent resident status in Singapore?,"It is assumed that the majority of those granted permanent resident status are selected from the high-skilled, economically active migrant worker population.","['high-skilled', 'economically active', 'migrant worker']",Immigration_in_Singapore.pdf
What is the difference in employment rates and wages between permanent residents and Singapore citizens?,Permanent residents have higher employment rates and wages compared to Singapore citizens.,"['permanent residents', 'Singapore citizens']",Immigration_in_Singapore.pdf
What is the percentage of migrants in the total population of Singapore?,"The percentage of migrants in the total population of Singapore has been steadily increasing, from 13.4% in 1960 to 33.8% in 2017.",['33.8%'],Immigration_in_Singapore.pdf
What is the demographic characteristic that is considered in naturalization policy in Singapore?,"Naturalization policy in Singapore considers the demographic characteristics of the applicant, such as their ethnic and/or cultural origins, in addition to their skills.","['ethnic', 'cultural', 'origins']",Immigration_in_Singapore.pdf
What is the concern raised in Parliament about the longer-term social effects of having large numbers of “Non-Traditional Source” workers in Singapore?,The concern raised in Parliament is that the presence of large numbers of “Non-Traditional Source” workers in Singapore for extended periods may have negative social effects on the society.,"['negative', 'social', 'effects']",Immigration_in_Singapore.pdf
What was the purpose of introducing the S Pass system in Singapore?,The S Pass system was introduced to manage medium-skilled foreign workers who fell short of the high-skilled threshold but were still needed for the economy.,"['introduce', 'manage', 'medium-skilled', 'foreign', 'workers', 'economy']",Immigration_in_Singapore.pdf
How did the foreign worker levy and dependency ratio ceiling change over time in Singapore?,"The foreign worker levy and dependency ratio ceiling were continually adjusted to calibrate the flow of and demand for low-skilled workers, while the approval criteria for high-skilled workers' Employment Passes were adjusted to ensure that incoming workers filled positions that required skills that were relatively rare in the resident population.","['calibrate', 'low-skilled', 'high-skilled', 'Employment Passes', 'resident population']",Immigration_in_Singapore.pdf
What was the reason for the rapid growth of the non-resident workforce in Singapore during the late 2000s?,"The rapid growth of the non-resident workforce in Singapore during the late 2000s was largely driven by the substantial expansion of the foreign workforce, which was needed to support the economy's growth.","['substantial', 'expansion', 'foreign', 'workforce', 'economy', 'growth']",Immigration_in_Singapore.pdf
What was the concern regarding low-skilled foreign workers in Singapore?,"The concern regarding low-skilled foreign workers in Singapore was that they were experiencing wage suppression from the ready availability of Work Permit holders, who were generally willing to work for lower effective wages than citizens.","['wage suppression', 'Work Permit holders', 'lower effective wages', 'citizens']",Immigration_in_Singapore.pdf
What was the concern regarding high-skilled foreign workers in Singapore?,"The concern regarding high-skilled foreign workers in Singapore was that the rapid growth in migrant high-skilled workers led to keen competition for Professional, Managerial, Executive, and Technical (PMET) jobs, which were demanded by an increasingly well-educated Singapore citizen workforce.","['rapid', 'growth', 'high-skilled', 'foreign', 'workers', 'competition', 'PMET', 'jobs', 'increasingly', 'well-educated', 'Singapore', 'citizen', 'workforce']",Immigration_in_Singapore.pdf
How did the number of Employment Pass holders change in the two years after the global financial crisis?,"The number of Employment Pass holders expanded by around 30,000 per year in the two years after the global financial crisis, which was a number two and a half times larger than the entire cohort each year of graduating university-educated residents.","['30,000', 'two years', 'global financial crisis']",Immigration_in_Singapore.pdf
What was the impact of the rapid growth of the non-resident workforce on Singapore's resident workforce?,"The rapid growth of the non-resident workforce in Singapore led to concerns that Singapore citizen low-wage workers were experiencing wage suppression, and that high-skilled foreign workers were competing with citizens for PMET jobs.","['wage suppression', 'competing with citizens for PMET jobs']",Immigration_in_Singapore.pdf
What was the government's response to the population backlash against foreign workers in Singapore?,"The government's response to the population backlash against foreign workers in Singapore was to adjust policies to accommodate sectoral challenges or opportunities, such as adjusting the foreign worker levy and dependency ratio ceiling, and introducing the S Pass system for medium-skilled workers.","['adjust', 'policies', 'accommodate', 'sectoral', 'challenges', 'opportunities', 'foreign', 'worker', 'levy', 'dependency', 'ratio', 'ceiling', 'introducing', 'S', 'Pass', 'system', 'medium-skilled', 'workers']",Immigration_in_Singapore.pdf
What was the purpose of the Foreign Talent strategy in Singapore?,The purpose of the Foreign Talent strategy in Singapore was to attract high-skilled workers who were needed for the economy's growth and to target them for long-term assimilation.,"['attract', 'high-skilled', 'workers', 'needed', ""economy's"", 'growth', 'target', 'long-term', 'assimilation']",Immigration_in_Singapore.pdf
What was the percentage of voter share that the ruling party received in the 2011 general election?,"The ruling party received 60.14% of the voter share in the 2011 general election, which was a significant decrease from the 66.6% they received in 2006.",['60.14%'],Immigration_in_Singapore.pdf
What was the main reason for the tightening of foreign worker policy in Singapore?,"The main reason for the tightening of foreign worker policy was the growing discontent among Singapore citizens towards the increasing number of foreign workers in the country, which was perceived to be contributing to wage suppression, higher expectations from employers, discrimination against Singapore citizens, and underemployment for high-skilled citizens.","['growing discontent', 'increasing number', 'foreign workers', 'Singapore citizens', 'wage suppression', 'higher expectations', 'discrimination', 'underemployment', 'high-skilled citizens']",Immigration_in_Singapore.pdf
What was the projected total population of Singapore by 2030 according to the White Paper on Population?,"According to the White Paper on Population, the projected total population of Singapore by 2030 was 6.9 million, supplemented by a non-resident population of 2.9 million to 3.1 million and an increase in new citizenship and permanent residents granted.",['6.9 million'],Immigration_in_Singapore.pdf
What was the result of the government's tightening of the Employment Pass scheme in 2012?,"The tightening of the Employment Pass scheme in 2012 resulted in a significant decrease in the number of Employment Pass holders, from around 30,000 per year to around 20,000 per year.","['decrease', '30,000', '20,000']",Immigration_in_Singapore.pdf
What was the reason for the increase in foreign worker levy in 2011-2013?,The foreign worker levy was increased in 2011-2013 to discourage employers from hiring too many foreign workers and to encourage them to hire more local workers instead.,"['discourage', 'hire', 'foreign workers', 'local workers']",Immigration_in_Singapore.pdf
